,class id,filepaths,labels,data set,scientific name,histogram_index
41,40.0,train/ASIAN GREEN BEE EATER/146.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,41
42,40.0,train/ASIAN GREEN BEE EATER/137.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,42
43,40.0,train/ASIAN GREEN BEE EATER/104.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,43
44,40.0,train/ASIAN GREEN BEE EATER/138.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,44
45,40.0,train/ASIAN GREEN BEE EATER/139.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,45
46,40.0,train/ASIAN GREEN BEE EATER/198.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,46
47,40.0,train/ASIAN GREEN BEE EATER/14.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,47
48,40.0,train/ASIAN GREEN BEE EATER/140.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,48
49,40.0,train/ASIAN GREEN BEE EATER/141.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,49
50,40.0,train/ASIAN GREEN BEE EATER/143.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,50
51,40.0,train/ASIAN GREEN BEE EATER/144.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,51
52,40.0,train/ASIAN GREEN BEE EATER/159.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,52
53,40.0,train/ASIAN GREEN BEE EATER/172.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,53
54,40.0,train/ASIAN GREEN BEE EATER/150.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,54
55,40.0,train/ASIAN GREEN BEE EATER/189.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,55
56,40.0,train/ASIAN GREEN BEE EATER/15.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,56
57,40.0,train/ASIAN GREEN BEE EATER/158.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,57
58,40.0,train/ASIAN GREEN BEE EATER/156.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,58
59,40.0,train/ASIAN GREEN BEE EATER/151.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,59
60,40.0,train/ASIAN GREEN BEE EATER/171.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,60
61,40.0,train/ASIAN GREEN BEE EATER/124.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,61
62,40.0,train/ASIAN GREEN BEE EATER/149.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,62
63,40.0,train/ASIAN GREEN BEE EATER/125.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,63
64,40.0,train/ASIAN GREEN BEE EATER/152.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,64
65,40.0,train/ASIAN GREEN BEE EATER/126.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,65
66,40.0,train/ASIAN GREEN BEE EATER/147.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,66
67,40.0,train/ASIAN GREEN BEE EATER/16.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,67
68,40.0,train/ASIAN GREEN BEE EATER/164.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,68
69,40.0,train/ASIAN GREEN BEE EATER/160.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,69
70,40.0,train/ASIAN GREEN BEE EATER/170.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,70
71,40.0,train/ASIAN GREEN BEE EATER/168.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,71
72,40.0,train/ASIAN GREEN BEE EATER/167.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,72
73,40.0,train/ASIAN GREEN BEE EATER/127.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,73
74,40.0,train/ASIAN GREEN BEE EATER/165.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,74
75,40.0,train/ASIAN GREEN BEE EATER/169.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,75
76,40.0,train/ASIAN GREEN BEE EATER/163.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,76
77,40.0,train/ASIAN GREEN BEE EATER/161.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,77
78,40.0,train/ASIAN GREEN BEE EATER/10.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,78
79,40.0,train/ASIAN GREEN BEE EATER/17.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,79
80,40.0,train/ASIAN GREEN BEE EATER/107.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,80
81,40.0,train/ASIAN GREEN BEE EATER/177.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,81
82,40.0,train/ASIAN GREEN BEE EATER/192.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,82
83,40.0,train/ASIAN GREEN BEE EATER/181.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,83
84,40.0,train/ASIAN GREEN BEE EATER/182.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,84
85,40.0,train/ASIAN GREEN BEE EATER/183.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,85
86,40.0,train/ASIAN GREEN BEE EATER/184.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,86
87,40.0,train/ASIAN GREEN BEE EATER/174.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,87
88,40.0,train/ASIAN GREEN BEE EATER/193.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,88
89,40.0,train/ASIAN GREEN BEE EATER/176.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,89
90,40.0,train/ASIAN GREEN BEE EATER/196.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,90
91,40.0,train/ASIAN GREEN BEE EATER/178.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,91
92,40.0,train/ASIAN GREEN BEE EATER/187.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,92
93,40.0,train/ASIAN GREEN BEE EATER/173.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,93
94,40.0,train/ASIAN GREEN BEE EATER/191.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,94
95,40.0,train/ASIAN GREEN BEE EATER/180.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,95
96,40.0,train/ASIAN GREEN BEE EATER/194.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,96
97,40.0,train/ASIAN GREEN BEE EATER/195.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,97
98,40.0,train/ASIAN GREEN BEE EATER/148.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,98
99,40.0,train/ASIAN GREEN BEE EATER/186.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,99
100,40.0,train/ASIAN GREEN BEE EATER/175.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,100
101,40.0,train/ASIAN GREEN BEE EATER/188.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,101
102,40.0,train/ASIAN GREEN BEE EATER/19.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,102
103,40.0,train/ASIAN GREEN BEE EATER/190.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,103
104,40.0,train/ASIAN GREEN BEE EATER/179.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,104
105,40.0,train/ASIAN GREEN BEE EATER/185.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,105
106,40.0,train/ASIAN GREEN BEE EATER/154.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,106
107,40.0,train/ASIAN GREEN BEE EATER/18.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,107
108,40.0,train/ASIAN GREEN BEE EATER/197.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,108
109,40.0,train/ASIAN GREEN BEE EATER/117.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,109
110,40.0,train/ASIAN GREEN BEE EATER/199.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,110
111,40.0,train/ASIAN GREEN BEE EATER/36.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,111
112,40.0,train/ASIAN GREEN BEE EATER/204.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,112
113,40.0,train/ASIAN GREEN BEE EATER/205.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,113
114,40.0,train/ASIAN GREEN BEE EATER/206.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,114
115,40.0,train/ASIAN GREEN BEE EATER/207.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,115
116,40.0,train/ASIAN GREEN BEE EATER/208.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,116
117,40.0,train/ASIAN GREEN BEE EATER/25.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,117
118,40.0,train/ASIAN GREEN BEE EATER/26.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,118
119,40.0,train/ASIAN GREEN BEE EATER/28.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,119
120,40.0,train/ASIAN GREEN BEE EATER/35.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,120
121,40.0,train/ASIAN GREEN BEE EATER/24.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,121
122,40.0,train/ASIAN GREEN BEE EATER/203.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,122
123,40.0,train/ASIAN GREEN BEE EATER/21.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,123
124,40.0,train/ASIAN GREEN BEE EATER/23.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,124
125,40.0,train/ASIAN GREEN BEE EATER/211.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,125
126,40.0,train/ASIAN GREEN BEE EATER/5.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,126
127,40.0,train/ASIAN GREEN BEE EATER/213.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,127
128,40.0,train/ASIAN GREEN BEE EATER/31.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,128
129,40.0,train/ASIAN GREEN BEE EATER/214.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,129
130,40.0,train/ASIAN GREEN BEE EATER/215.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,130
131,40.0,train/ASIAN GREEN BEE EATER/209.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,131
132,40.0,train/ASIAN GREEN BEE EATER/216.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,132
133,40.0,train/ASIAN GREEN BEE EATER/218.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,133
134,40.0,train/ASIAN GREEN BEE EATER/219.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,134
135,40.0,train/ASIAN GREEN BEE EATER/220.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,135
136,40.0,train/ASIAN GREEN BEE EATER/86.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,136
137,40.0,train/ASIAN GREEN BEE EATER/49.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,137
138,40.0,train/ASIAN GREEN BEE EATER/37.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,138
139,40.0,train/ASIAN GREEN BEE EATER/210.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,139
140,40.0,train/ASIAN GREEN BEE EATER/97.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,140
141,40.0,train/ASIAN GREEN BEE EATER/46.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,141
142,40.0,train/ASIAN GREEN BEE EATER/29.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,142
143,40.0,train/ASIAN GREEN BEE EATER/3.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,143
144,40.0,train/ASIAN GREEN BEE EATER/34.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,144
145,40.0,train/ASIAN GREEN BEE EATER/32.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,145
146,40.0,train/ASIAN GREEN BEE EATER/42.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,146
147,40.0,train/ASIAN GREEN BEE EATER/44.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,147
148,40.0,train/ASIAN GREEN BEE EATER/30.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,148
149,40.0,train/ASIAN GREEN BEE EATER/212.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,149
150,40.0,train/ASIAN GREEN BEE EATER/84.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,150
151,40.0,train/ASIAN GREEN BEE EATER/38.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,151
152,40.0,train/ASIAN GREEN BEE EATER/217.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,152
153,40.0,train/ASIAN GREEN BEE EATER/47.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,153
154,40.0,train/ASIAN GREEN BEE EATER/22.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,154
155,40.0,train/ASIAN GREEN BEE EATER/39.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,155
156,40.0,train/ASIAN GREEN BEE EATER/4.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,156
157,40.0,train/ASIAN GREEN BEE EATER/40.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,157
158,40.0,train/ASIAN GREEN BEE EATER/41.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,158
159,40.0,train/ASIAN GREEN BEE EATER/82.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,159
160,40.0,train/ASIAN GREEN BEE EATER/27.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,160
161,40.0,train/ASIAN GREEN BEE EATER/43.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,161
162,40.0,train/ASIAN GREEN BEE EATER/48.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,162
163,40.0,train/ASIAN GREEN BEE EATER/45.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,163
164,40.0,train/ASIAN GREEN BEE EATER/77.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,164
165,40.0,train/ASIAN GREEN BEE EATER/33.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,165
166,40.0,train/ASIAN GREEN BEE EATER/8.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,166
167,40.0,train/ASIAN GREEN BEE EATER/6.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,167
168,40.0,train/ASIAN GREEN BEE EATER/60.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,168
169,40.0,train/ASIAN GREEN BEE EATER/61.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,169
170,40.0,train/ASIAN GREEN BEE EATER/75.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,170
171,40.0,train/ASIAN GREEN BEE EATER/52.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,171
172,40.0,train/ASIAN GREEN BEE EATER/71.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,172
173,40.0,train/ASIAN GREEN BEE EATER/54.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,173
174,40.0,train/ASIAN GREEN BEE EATER/63.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,174
175,40.0,train/ASIAN GREEN BEE EATER/56.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,175
176,40.0,train/ASIAN GREEN BEE EATER/65.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,176
177,40.0,train/ASIAN GREEN BEE EATER/74.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,177
178,40.0,train/ASIAN GREEN BEE EATER/59.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,178
179,40.0,train/ASIAN GREEN BEE EATER/58.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,179
180,40.0,train/ASIAN GREEN BEE EATER/72.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,180
181,40.0,train/ASIAN GREEN BEE EATER/73.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,181
182,40.0,train/ASIAN GREEN BEE EATER/51.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,182
183,40.0,train/ASIAN GREEN BEE EATER/64.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,183
184,40.0,train/ASIAN GREEN BEE EATER/53.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,184
185,40.0,train/ASIAN GREEN BEE EATER/67.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,185
186,40.0,train/ASIAN GREEN BEE EATER/68.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,186
187,40.0,train/ASIAN GREEN BEE EATER/69.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,187
188,40.0,train/ASIAN GREEN BEE EATER/57.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,188
189,40.0,train/ASIAN GREEN BEE EATER/62.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,189
190,40.0,train/ASIAN GREEN BEE EATER/83.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,190
191,40.0,train/ASIAN GREEN BEE EATER/70.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,191
192,40.0,train/ASIAN GREEN BEE EATER/7.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,192
193,40.0,train/ASIAN GREEN BEE EATER/55.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,193
194,40.0,train/ASIAN GREEN BEE EATER/80.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,194
195,40.0,train/ASIAN GREEN BEE EATER/66.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,195
196,40.0,train/ASIAN GREEN BEE EATER/201.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,196
197,40.0,train/ASIAN GREEN BEE EATER/79.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,197
198,40.0,train/ASIAN GREEN BEE EATER/85.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,198
199,40.0,train/ASIAN GREEN BEE EATER/76.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,199
200,40.0,train/ASIAN GREEN BEE EATER/2.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,200
201,40.0,train/ASIAN GREEN BEE EATER/50.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,201
202,40.0,train/ASIAN GREEN BEE EATER/20.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,202
203,40.0,train/ASIAN GREEN BEE EATER/78.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,203
204,40.0,train/ASIAN GREEN BEE EATER/200.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,204
205,40.0,train/ASIAN GREEN BEE EATER/81.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,205
206,40.0,train/ASIAN GREEN BEE EATER/87.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,206
207,40.0,train/ASIAN GREEN BEE EATER/88.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,207
208,40.0,train/ASIAN GREEN BEE EATER/9.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,208
209,40.0,train/ASIAN GREEN BEE EATER/93.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,209
210,40.0,train/ASIAN GREEN BEE EATER/95.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,210
211,40.0,train/ASIAN GREEN BEE EATER/89.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,211
212,40.0,train/ASIAN GREEN BEE EATER/96.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,212
213,40.0,train/ASIAN GREEN BEE EATER/90.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,213
214,40.0,train/ASIAN GREEN BEE EATER/202.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,214
215,40.0,train/ASIAN GREEN BEE EATER/98.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,215
216,40.0,train/ASIAN GREEN BEE EATER/92.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,216
